GrantId,Distance_Min,Grant_Match
318,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
327,0.25,"[{""Grant"":""269"",""Jaccard"":0.25},{""Grant"":""4417"",""Jaccard"":0.25},{""Grant"":""6561"",""Jaccard"":0.25}]"
328,0,"[{""Grant"":""375"",""Jaccard"":0},{""Grant"":""7807"",""Jaccard"":0}]"
329,0.8405103668261563,[]
331,0.7610619469026548,[]
337,0.5882352941176471,[]
338,0.3958333333333333,[]
341,0,"[{""Grant"":""345"",""Jaccard"":0},{""Grant"":""688"",""Jaccard"":0},{""Grant"":""4349"",""Jaccard"":0},{""Grant"":""7090"",""Jaccard"":0}]"
345,0,"[{""Grant"":""341"",""Jaccard"":0},{""Grant"":""688"",""Jaccard"":0},{""Grant"":""4349"",""Jaccard"":0},{""Grant"":""7090"",""Jaccard"":0}]"
347,0.9583333333333334,[]
348,0,"[{""Grant"":""58"",""Jaccard"":0},{""Grant"":""87"",""Jaccard"":0},{""Grant"":""141"",""Jaccard"":0},{""Grant"":""206"",""Jaccard"":0},{""Grant"":""267"",""Jaccard"":0},{""Grant"":""370"",""Jaccard"":0},{""Grant"":""464"",""Jaccard"":0},{""Grant"":""588"",""Jaccard"":0},{""Grant"":""6519"",""Jaccard"":0}]"
350,0.984375,[]
358,0.6666666666666666,[]
369,0.6666666666666666,[]
370,0,"[{""Grant"":""58"",""Jaccard"":0},{""Grant"":""87"",""Jaccard"":0},{""Grant"":""141"",""Jaccard"":0},{""Grant"":""206"",""Jaccard"":0},{""Grant"":""267"",""Jaccard"":0},{""Grant"":""348"",""Jaccard"":0},{""Grant"":""464"",""Jaccard"":0},{""Grant"":""588"",""Jaccard"":0},{""Grant"":""6519"",""Jaccard"":0}]"
373,0.7777777777777778,[]
375,0,"[{""Grant"":""328"",""Jaccard"":0},{""Grant"":""7807"",""Jaccard"":0}]"
380,0.7142857142857143,[]
383,0.5,[]
384,0.8079625292740047,[]
385,0.9970760233918129,[]
389,0.25,"[{""Grant"":""269"",""Jaccard"":0.25},{""Grant"":""4417"",""Jaccard"":0.25},{""Grant"":""6561"",""Jaccard"":0.25}]"
391,0.3958333333333333,[]
392,0.6666666666666666,[]
403,0.75,[]
404,0.6666666666666666,[]
413,0.8,[]
416,0.7142857142857143,[]
425,0.5,[]
441,0,"[{""Grant"":""196"",""Jaccard"":0}]"
454,0.5,[]
464,0,"[{""Grant"":""58"",""Jaccard"":0},{""Grant"":""87"",""Jaccard"":0},{""Grant"":""141"",""Jaccard"":0},{""Grant"":""206"",""Jaccard"":0},{""Grant"":""267"",""Jaccard"":0},{""Grant"":""348"",""Jaccard"":0},{""Grant"":""370"",""Jaccard"":0},{""Grant"":""588"",""Jaccard"":0},{""Grant"":""6519"",""Jaccard"":0}]"
468,0.4,[]
489,0.5,[]
490,0.8805970149253731,[]
491,0.75,[]
500,0.5238095238095238,[]
516,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
517,0.7764705882352941,[]
519,0.6782608695652174,[]
522,0,"[{""Grant"":""1325"",""Jaccard"":0}]"
524,0.7818181818181819,[]
528,0,"[{""Grant"":""4287"",""Jaccard"":0}]"
529,0.8333333333333334,[]
530,0,"[{""Grant"":""826"",""Jaccard"":0}]"
539,0.770949720670391,[]
542,0.5,[]
543,0.75,[]
550,0.5,[]
554,0.2,"[{""Grant"":""976"",""Jaccard"":0.2}]"
555,0.6666666666666666,[]
556,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
562,0.875,[]
564,0.8,[]
565,0.6666666666666666,[]
567,0.6666666666666666,[]
584,0,"[{""Grant"":""101"",""Jaccard"":0},{""Grant"":""1051"",""Jaccard"":0},{""Grant"":""1736"",""Jaccard"":0},{""Grant"":""1760"",""Jaccard"":0},{""Grant"":""2010"",""Jaccard"":0},{""Grant"":""2135"",""Jaccard"":0},{""Grant"":""2157"",""Jaccard"":0}]"
588,0,"[{""Grant"":""58"",""Jaccard"":0},{""Grant"":""87"",""Jaccard"":0},{""Grant"":""141"",""Jaccard"":0},{""Grant"":""206"",""Jaccard"":0},{""Grant"":""267"",""Jaccard"":0},{""Grant"":""348"",""Jaccard"":0},{""Grant"":""370"",""Jaccard"":0},{""Grant"":""464"",""Jaccard"":0},{""Grant"":""6519"",""Jaccard"":0}]"
599,0.7550335570469798,[]
605,0.6666666666666666,[]
615,0.7927927927927928,[]
619,0.8823529411764706,[]
620,0,"[{""Grant"":""1299"",""Jaccard"":0},{""Grant"":""1541"",""Jaccard"":0},{""Grant"":""2807"",""Jaccard"":0},{""Grant"":""3425"",""Jaccard"":0}]"
622,0,"[{""Grant"":""827"",""Jaccard"":0},{""Grant"":""949"",""Jaccard"":0},{""Grant"":""1131"",""Jaccard"":0}]"
629,0.75,[]
634,0,"[{""Grant"":""1321"",""Jaccard"":0}]"
646,0.8333333333333334,[]
679,0,"[{""Grant"":""852"",""Jaccard"":0},{""Grant"":""6505"",""Jaccard"":0},{""Grant"":""6874"",""Jaccard"":0}]"
681,1,[]
684,0.8333333333333334,[]
688,0,"[{""Grant"":""341"",""Jaccard"":0},{""Grant"":""345"",""Jaccard"":0},{""Grant"":""4349"",""Jaccard"":0},{""Grant"":""7090"",""Jaccard"":0}]"
702,0.5,[]
711,1,[]
747,0.5,[]
