Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
jaylat00,3,0,NA,0.48,15,0.08,0,0,0.04,24,1,0.6819486358772687,0.572602307645347
tangsha1,2,0,3,0,15,0.36,0,0,0.96,103,99,0.46076911277967614,0.5051874537894359
koralimay,2,0,0,0,1,0,1,0,1,1,1,0.21797134445970096,0.28238978992423164
pentcle,2,0,4,0.42,6,0.28,0,0,0.13,15,2,0.6106110138842431,0.6426863515190981
nickizzo,2,0,4,0.35,13,0.1,0,0,0,7,0,0.730342975733529,0.7525555713830271
coga234r,3,0,2,0,1,0.1,1,0,0,1,0,0.5205565524646241,0.5600499921993176
viniviciii,3,0,0,0.1,5,0,1,0,0,1,0,0.4948467706614281,0.5364580153707359
lenachydko,4,0,0,0.04,18,0,1,0,0.08,13,1,0.41347989436665267,0.4617936142935634
gin994,2,0,1,0,9,0.11,1,0,0,3,0,0.4906646806513194,0.5326204187948963
twalth3r,2,0,3,0.2,2,0.18,0,0,0.17,6,1,0.5518695587091147,0.5887836362033061
suhaskulkarni,4,0,1,0.18,6,0.05,0,0,0,1,0,0.7066438496665232,0.7308086255197629
k4st2,2,0,3,0,3,0.18,1,0,0,2,0,0.5368284493002438,0.5749815157743364
eco468,3,0,2,0.18,15,0.11,1,0,1,4,4,0.4854680226272691,0.5278518277338
nikolaymalmal,4,0,1,0,12,0,0,0,0,1,0,0.6348257400894816,0.6649064257273288
crypt-own,2,0,3,0.15,22,0.25,1,0,0,2,0,0.6960398582931233,0.7210781221383367
evilnesquik,5,0,3,0.18,5,0.06,1,0,0.25,4,1,0.5544457113711083,0.5911475821276192
simasmart,3,0,1,0.45,7,0.11,1,0,0,3,0,0.6216345078790724,0.652801801618472
skyjokrs,3,0,3,0.42,22,0,1,0,0.67,3,2,0.5254427415882332,0.5645336887731223
kilatunzii,3,0,0,0.32,25,0.23,0,0,0.89,56,50,0.5189487670873397,0.5585746457472714
wadanotad,3,0,3,0.14,9,0.1,0,0,0,13,0,0.6774671651417346,0.7040353269164241
sweetpotatoct,2,0,4,0.25,14,0.2,1,0,0,3,0,0.7043541415257698,0.7287075286759868
datz55,2,0,3,0.22,18,0.21,1,0,0,1,0,0.7378016214607931,0.7593998222801055
mary1an,2,0,1,0,2,0,1,0,0,2,0,0.3699107586714149,0.42181342124363225
thed3ath,3,0,0,0.17,2,0.1,0,0,0,1,0,0.6241995723660502,0.6551555727396675
sou0227,3,0,2,0,3,0.21,1,0,0,2,0,0.5551073058137149,0.5917546787136335
gingerheart86,5,0,3,0.5,24,0.16,1,1,0.06,33,2,0.7303836323752534,0.7525928789944581
aloftthewind,5,0,0,0.64,62,0.08,1,0,1,2,2,0.5518677106799453,0.5887819404027865
nikonvlad134,5,0,0,0,3,0.18,1,0,0,1,0,0.5813604081926829,0.6158452208949757
0xkaptan,2,0,1,0.2,2,0,1,0,0.25,4,1,0.330348150215203,0.38550972372017933
rafalwasi,2,0,0,0.36,9,0,1,0,0,5,0,0.4614325552514521,0.5057962461759699
0x7152a8e,4,0,1,0.14,4,0,1,0,0,3,0,0.5152915173613101,0.5552186565189964
ursahub,2,0,0,0,1,0,1,0,1,1,1,0.21797134445970096,0.28238978992423164
cadetinvertigo,6,0,3,0,1,0.03,1,0,0,10,0,0.5036341493614135,0.544521546841402
tobatharam,4,0,2,0.11,4,0.08,1,0,0,8,0,0.5623275557781404,0.5983801713436845
armandgan,2,0,2,0,8,0,1,0,0,3,0,0.4340650912834008,0.480683136281313
dengel88,3,0,3,0.07,10,0,1,0,0,1,0,0.6133775135506739,0.6452249648969293
yogigoyal22,4,0,4,0.19,91,0.11,0,0,0,15,0,0.808812142290854,0.8245609572454773
2011557foxrich,8,0,1,0.2,5,0.13,1,0,0,1,0,0.7092200023285168,0.7331725714440759
mariasacinko,4,0,0,0.04,18,0,1,0,0.04,23,1,0.406194963381302,0.45510876864532673
nikanorovairina19,6,0,0,0,3,0.18,1,0,0,1,0,0.5914802159237281,0.6251314245402685
bozkuurtburak,6,0,4,0,3,0,0,0,0.14,7,1,0.52218651419194,0.5615456882575989
100xlabs,2,0,2,0.06,12,0.08,1,0,0,1,0,0.6071108466376033,0.6394745053349884
segnontv,3,0,2,0,1,0,1,0,0,1,0,0.45402935039926673,0.4990028692944792
seyma26,2,0,2,0.09,5,0.18,1,0,0,2,0,0.5733695300646625,0.6085125794482543
antonyangel,3,0,1,0.14,6,0.16,1,0,0.5,2,1,0.5045248994210124,0.5453389226918459
yigidullah,4,0,2,0,1,0,1,0,0,1,0,0.48951151044968094,0.5315622392706701
rahulsharmaitmgkp,6,0,3,0.08,29,0.28,0,0,0.14,7,1,0.7432403713060207,0.7643905632092686
jonnymbir,3,0,2,0.2,8,0.03,0,0,0,1,0,0.7136589683931571,0.737245884292139
bosch666,3,0,3,0,8,0.18,1,0,1,1,1,0.5207284191773683,0.5602077016476398
holawelt,3,0,2,0,1,0,1,0,0,1,0,0.45402935039926673,0.4990028692944792
jan-miksik,4,0,3,0.57,12,0.23,0,0,0.42,24,10,0.6666617385888819,0.6941199812783623
0xvenky,2,0,4,0.27,5,0,0,0,0,6,0,0.6069094114581505,0.6392896630783528
debour,2,0,4,0.09,6,0.33,0.04,0,0,23,0,0.6391057756455628,0.6688338997307068
onyourmark-sun,7,0,1,0,16,0.23,0,0,0.29,17,5,0.5676092231439781,0.6032267692286821
ozeanjosh,3,0,3,0,1,0,1,0,0,1,0,0.48269228281499194,0.525304735353371
lisawocken,4,0,2,0.55,22,0.13,1,0,0,1,0,0.8033068633955318,0.8195091674976089
0xtrajectory,5,0,4,0.21,34,0.21,1,0,0,4,0,0.811789317282584,0.8272928918825421
andytudhope,4,0,3,0.76,43,0,0,1,0.11,28,3,0.6937094935106456,0.7189397176831295
thithut34,4,0,2,0,1,0.1,1,0,0,1,0,0.5560387125150383,0.5926093621755085
annie-pro,2,0,2,0,2,0.13,0,0,1,1,1,0.46200544429393275,0.5063219443370437
nazarke4,2,0,1,0.2,6,0,1,0,0,8,0,0.4379903052389779,0.48428501658492906
pankaj8885,3,0,3,0.11,49,0.15,0,0,0,11,0,0.7477606506541099,0.7685384912801937
pomcyillegal,5,0,3,0,2,0,1,0,0.5,2,1,0.42427238471532036,0.47169708932798815
rajsaurabh418,5,0,4,0.21,22,0.1,0,0,0,9,0,0.8223711323059523,0.8370030456577332
novokovdenis69,6,0,0,0,3,0.18,1,0,0,1,0,0.5914802159237281,0.6251314245402685
kkemosabe,3,0,2,0.29,5,0.13,0,0,0,1,0,0.7542232086591255,0.7744687056972114
labtec0000,3,0,4,0.17,5,0.03,0,0,0,4,0,0.6794722767904169,0.7058752704801828
littletaba,3,0,4,0.43,9,0.08,1,0,0.25,16,4,0.5285307983301208,0.5673673714413626
aodili132,3,0,2,0,1,0,1,0,1,1,1,0.321000818676922,0.3769323646920765
olya1388,3,0,NA,0,11,0.11,1,0,0,1,0,0.6915583875575892,0.5814204703472321
anandrbelov0475653,9,0,0,0,3,0.18,1,0,0,1,0,0.6000901838234615,0.6330321591610536
kestra321,3,0,0,0.36,5,0.13,0,1,0.29,7,2,0.5873092140886351,0.6213040027675465
0xjoshua,2,0,4,0.68,50,0.44,0,1,0.11,19,2,0.7649159054326513,0.7842806075035781
ladidan,2,0,2,0.45,14,0.26,0,0,0.14,7,1,0.6410129417482725,0.6705839658669271
warmon,1,2,1,0,1,0,0,0,0,1,0,0.3562205585852967,0.40925093099448523
davinifrank,3,0,4,0.2,6,0.1,1,0,0,2,0,0.6707920837822504,0.6979100954396532
yungsb,2,0,2,0.57,27,0.08,1,0,0,17,0,0.6057802656357127,0.6382535289608813
huynhphuongbtc,3,0,2,0,2,0,1,0,1,1,1,0.3436096075340453,0.3976787882487807
yobu,1,1,4,0,1,0,0,0,0,4,0,0.383480836861529,0.4342656844590057
lavonnashauge,6,0,4,0,11,0.15,1,0,1,1,1,0.6250662980464483,0.6559509031833567
oishinikku,4,0,0,0.56,24,0.16,0,0,0,2,0,0.7922279285256238,0.8093428433826472
yurkoffn,3,0,1,0.21,12,0.1,1,0,1,1,1,0.5344278594093329,0.5727786708993847
ssvitlyk,3,0,1,0,12,0.08,0,0,0,3,0,0.6029823494734041,0.635686086974217
eddgia,2,0,4,0,3,0.1,0,0,0,9,0,0.5608306521510136,0.5970065729228139
lucianhymer,3,0,1,0.33,4,0.1,0,0,0,3,0,0.6532542869656655,0.681816948508713
nicobgg,2,0,1,0,10,0,1,0,0,1,0,0.46998893030527594,0.5136478025816867
unseen011,4,0,4,0.17,2,0,0,0,0,6,0,0.63697130195503,0.6668752501305767
serggovorov227,5,0,0,0,3,0.18,1,0,0,1,0,0.5813604081926829,0.6158452208949757
trkkya,2,0,1,0,3,0.05,1,0,0,12,0,0.37376020343105093,0.42534577372594506
austinb1226,3,0,2,0,1,0,1,0,0,1,0,0.45402935039926673,0.4990028692944792
futurestic007,5,0,3,0.27,66,0,1,0,0,2,0,0.7196595191058496,0.7427521485792583
musaa08,2,0,3,0.45,23,0.29,0,0,0.95,40,38,0.5800242831032845,0.6146191571193097
amorftrade,3,0,3,0,5,0,1,0,0,7,0,0.4587769373351789,0.5033593808293143
ccelik9,2,0,4,0.11,5,0,1,0,0,1,0,0.569946980043133,0.6053719568859676
patufet,2,0,2,0.5,13,0,1,0,0,2,0,0.5825486909485379,0.6169356206290741
7933774,3,0,4,0.25,6,0.08,0,0,0,7,0,0.7040898733545611,0.728465029201685
caspercoin,3,0,0,0,11,0,0,0,0,1,0,0.5615901921395927,0.5977035469363667
jusmen4321,4,0,0,0.14,8,0,1,0,1,1,1,0.4303616408281388,0.477284752040048
bettydedwards17,7,0,0,0,1,0.07,1,0,0,1,0,0.5117488454437765,0.551967806922936
zhangeder,1,1,3,0,15,0,1,0,0.96,26,25,0.18776345965844726,0.2546702346309599
jenniferwallen89,6,0,0,0,1,0.07,1,0,0,1,0,0.5068792885826909,0.5474993725538078
blackhood99,4,0,1,0.05,35,0,1,0,0,5,0,0.564903708440134,0.6007441172679975
sergavdeev173,5,0,1,0,3,0.2,1,0,0,1,0,0.6164286097091757,0.6480247315547778
faguogou111,4,0,2,0,1,0,1,0,1,1,1,0.35648297872733625,0.4094917346682675
grimreapersc,2,0,2,0,1,0,1,0,0,2,0,0.37561932077535914,0.4270517490486559
fiore60,2,0,3,0.18,6,0.08,1,0,0.25,4,1,0.4738161987148805,0.5171598054577644
aniel756,3,0,0,0,7,0.08,0,0,1,4,4,0.363326230741226,0.41577128399232144
batur2020,3,0,0,0,1,0,1,0,0,1,0,0.3932217986128693,0.4432042489977819
sajibchy,3,0,2,0.12,18,0.11,1,0,0.43,7,3,0.5053324881679933,0.5460799875189082
mkleinm,3,0,3,0,4,0.07,1,0,0,2,0,0.5376304939597166,0.5757174931998399
neynehms,3,0,0,0.29,4,0,1,0,0,2,0,0.4888148034528577,0.5309229224747835
chicbangs,3,0,2,0.3,5,0.18,1,0,0,1,0,0.6932345500141375,0.718503896949594
damianmarti,3,0,4,0.12,3,0.11,0,0,0,2,0,0.7161833762384106,0.7395623478019033
mkrilov640,5,0,0,0,4,0.18,1,0,0,1,0,0.5900461452883572,0.623815483337064
mrgno,2,0,3,0.09,4,0.13,1,0,0,1,0,0.6181528209241255,0.6496069134395582
c0ric0ri,3,0,4,0.14,1,0,1,0,0.5,2,1,0.4329304013734553,0.4796419147622827
evgen7289,2,0,1,0.52,23,0.03,1,0,0,1,0,0.6495563805979113,0.6784236516690069
ashi32,1,1,1,0.06,13,0,1,0,0,1,0,0.4304466501699263,0.4773627588639493
cowbellst2,1,1,2,0.1,13,0.07,1,0,0,1,0,0.5152416205737391,0.5551728699049674
abdulejaz1996,1,1,2,0.01,85,0.15,1,0,0,7,0,0.5003391133525652,0.5414979345149671
laladda,1,1,2,0,1,0,1,0,1,1,1,0.1810569618030851,0.24851617454535588
thandadude,3,0,3,0.33,10,0.33,0,0,0,1,0,0.8474692164541126,0.8600337125143295
chancce,1,1,0,0,1,0.07,0,0,0.02,58,1,0.19041907757472043,0.25710709997761544
borntochop,4,0,3,0,8,0,0,0,0.5,2,1,0.5294067641563655,0.5681711808876498
mishra-ajay,4,0,0,0.53,35,0.25,0,0,0,12,0,0.7573630102177533,0.7773498707800004
dreamventure,4,0,0,0,10,0.11,1,0,1,1,1,0.46047158008342004,0.5049144299057813
piderah1,3,0,4,0.1,5,0.21,1,0,0.67,9,6,0.4862848515200964,0.5286013715634602
softeba,2,0,1,0.14,4,0.08,1,0,1,1,1,0.40970991486129615,0.45833418123359315
agata166,2,0,2,0,1,0,1,0,0,2,0,0.37561932077535914,0.4270517490486559
lyonnalyu,3,0,3,0.27,4,0,1,0,0,1,0,0.6121504221822637,0.6440989533519194
alexxx0851,3,0,2,0.35,15,0.15,1,0,0,2,0,0.7132394657717277,0.7368609375741912
burak6446,3,0,0,0,2,0.13,1,0,0,1,0,0.5016087093918691,0.5426629494719277
hannaart88,3,0,3,0.17,3,0,0,0,0.5,2,1,0.5224082776922551,0.56174918431995
deskertw,3,0,3,0,16,0,0,0,0.06,16,1,0.4948948194198297,0.5365021061842453
overanalyser,5,0,4,0.33,4,0.31,0,0,0.33,6,2,0.698793421755369,0.7236048649125306
alinnakal,3,0,0,0,1,0.08,1,0,1,1,1,0.3145881574594773,0.3710479368890879
wl15710646135,7,0,3,0.08,6,0,0,0,0.68,57,39,0.47039919278085884,0.5140242702970365
alexwaw,1,1,3,0.33,3,0,0,0,0,11,0,0.4610925178843023,0.5054842188803647
timucinylmz,4,0,4,0.39,26,0.38,0,0,0,9,0,0.8714972917132524,0.8820825108700814
mhmd1007,3,0,4,0.08,21,0.11,1,0,0.06,17,1,0.5785514038553584,0.6132676041051939
megrivers,3,0,0,0.11,1,0.1,1,0,0,1,0,0.5130627941831434,0.5531735210923668
butili,2,0,0,0,12,0.06,1,0,1,1,1,0.3618644396683157,0.4144299057813231
deaneries,2,0,NA,0.14,2,0.08,0,0,1,15,15,0.4213081459277753,0.33343168976346976
robertbrucebanner9,8,0,0,0.47,11,0.05,1,0,1,1,1,0.5720075325668941,0.6072627744653141
tox1ccc,3,0,3,0,5,0.2,1,0,0,2,0,0.59810909655398,0.6312142610040495
fenggou111,4,0,2,0,1,0,1,0,1,1,1,0.35648297872733625,0.4094917346682675
b-0xbluewhale,5,0,4,0.3,6,0,0,0,0.68,28,19,0.5319293239724496,0.5704859485968946
ozzess,2,0,2,0,1,0,0,0,0,3,0,0.4358909441026617,0.4823585871946711
chaban2,2,0,2,0,1,0.1,1,0,1,1,1,0.34530609831145576,0.39923553312576737
tuagyo,2,0,0,0,3,0.08,1,0,0,8,0,0.36181639090991413,0.4143858149678137
michaell99999,3,0,0,0.05,17,0.11,1,0,0,1,0,0.6263432862024294,0.6571227013423957
mermonstrosity,3,0,2,0.09,1,0.11,1,0,0,1,0,0.5810499392922418,0.615560326407684
ceed101,2,0,1,0.33,1,0,1,0,0,1,0,0.47724059676557934,0.5203021238205707
wolexx4,2,0,1,0,4,0.11,1,0,0.62,21,13,0.2588220292469096,0.31987546040984105
larrismarco,4,0,3,0,1,0.08,0,0,0.75,79,59,0.3805369263948462,0.4315642742312936
mcc1016,2,0,3,0,3,0,1,0,0,1,0,0.4749656728581804,0.5182145933809514
karribp,2,0,2,0.56,41,0.1,1,1,0.2,5,1,0.634581800239135,0.6646825800587425
100kiyakou,5,0,3,0.18,15,0.18,1,0,0,1,0,0.814651914465818,0.829919686887392
wayne1800,3,0,2,0.33,30,0,0,0,0,1,0,0.7492982109229612,0.7699493973124953
arashlove2020,4,0,4,0,18,0.25,1,0,0.25,16,4,0.5512005721498308,0.5881697564152134
ernestogoulart,5,0,0,0,1,0,1,0,0,1,0,0.4488142120835235,0.49421732022818693
badsanta13,3,0,3,0.26,10,0.29,1,0,0,19,0,0.6690290639547455,0.6962923017439613
anggatrader,3,0,2,0,2,0.03,1,0,0.09,11,1,0.34623011289610195,0.400083433385564
kasparchen,4,0,4,0.61,15,0.1,1,0,0.76,38,29,0.5636470486050151,0.5995909729146741
iryna888999,5,0,2,0.15,6,0.06,0,0,0.25,4,1,0.6030470304943293,0.6357454399924028
mahbubz234,3,0,0,0.31,11,0.13,0,0,0,2,0,0.702402622722997,0.7269167633272963
ssr52,2,0,1,0.14,4,0,1,0,0,1,0,0.48834355601468815,0.5304904933422872
sedatkara09,3,0,2,0.21,7,0.21,0,0,0,5,0,0.7085177512441856,0.7325281672466304
danish2745,2,0,3,0.31,24,0.1,0,0,0,29,0,0.6972503173990098,0.7221888714786702
yy092889001,5,0,2,0.2,6,0.08,1,0,0,1,0,0.6965905709855724,0.7215834706931754
krzysztofbrol,4,0,2,0.2,3,0,0,0,0,3,0,0.6217971344459701,0.6529510320641962
jetuliopencas,6,0,1,0.19,12,0,1,0,0,5,0,0.5956900263713762,0.628994458123902
markza007,3,0,1,0,4,0,1,0,0,24,0,0.37176802798655373,0.4235177007658235
0xdanielson,2,0,2,0.31,5,0,1,0,0,3,0,0.5032497592942007,0.5441688203333266
manju26884,4,0,3,0.24,27,0.18,0,0,0,3,0,0.846157115743915,0.8588296941454183
brutoshi,2,0,4,0.53,9,0.1,1,0,1,2,2,0.5269082287194821,0.5658784585851597
susscrofan,4,0,4,0.38,6,0,0,0,0,1,0,0.7748121016342122,0.7933616192860001
phuctohuu,3,0,4,0.25,2,0,0,0,0,4,0,0.6290340166729191,0.6595917868989235
raymondstanley02,5,0,3,0.29,32,0.16,0,0,0.75,20,15,0.672824915868472,0.6997754760112058
koteikanodes,5,0,0,0,1,0,1,0,1,1,1,0.3157856803611788,0.37214681562578433
rizbol2,3,0,4,0.33,1,0,1,0,0,1,0,0.601629592121482,0.6344447609938748
deninverse,2,0,0,0.14,2,0.13,1,0,0,1,0,0.5210592163986716,0.5605112499406469
dogayet,3,0,0,0.12,2,0.08,1,0,0,2,0,0.49089753232665023,0.532834089660365
corner354,3,0,4,0.1,35,0,0,0,0.17,18,3,0.5529210873064421,0.5897485466989547
j-h-scheufen,6,0,3,0.56,20,0.36,0,0,0,11,0,0.8752192224602073,0.8854978531165422
tema199204,4,0,3,0.11,11,0.1,1,0,0.17,12,2,0.5367840966001808,0.5749408165618662
duysanbounty,4,0,NA,0.33,48,0.23,0,0,0.29,21,6,0.7343846155267715,0.6207189515882867
chriscombatant,4,0,0,0.18,8,0,0,0,1,2,2,0.4555151658513778,0.5003662929122321
sabinakc4,1,1,1,0,5,0.1,1,0,1,2,2,0.21268782906469397,0.27754149623871444
joshtharakan,4,0,4,0.29,14,0.26,0,0,0.14,49,7,0.690963322165077,0.7164197581110139
dakavon,2,0,3,0.62,18,0.28,0,0,0,46,0,0.744550623987049,0.7655928857776602
ezeuuu,2,0,3,0.4,12,0,0,0,0,10,0,0.6306233217585107,0.6610501753457737
rasp1berry,2,0,0,0.12,11,0.1,1,0,0,1,0,0.5679159959860807,0.6035082721149346
anikbarua90,5,0,0,0.07,11,0.11,0,0,0,2,0,0.7034781756995252,0.7279037192296995
feilunh11,3,0,2,0,1,0,1,0,1,1,1,0.321000818676922,0.3769323646920765
pavelto0,2,0,3,0,2,0.08,1,0,0.5,2,1,0.38085293938279524,0.43185425612014405
omoju,1,2,NA,0.09,1,0,0,0,0,2,0,0.46278716063254344,0.3714939324257409
maciejbudkowski,4,0,4,0.75,1,0.06,0,1,0,7,0,0.7712324691332928,0.7900768536795479
torshri,1,1,3,0.15,21,0.26,0,0,0,17,0,0.6170051948099948,0.6485538213168909
wecanmake,3,0,0,0.18,9,0,1,0,1,1,1,0.4093680294649771,0.4580204581374684
ysatasever,4,0,1,0,4,0.07,1,0,0,4,0,0.4930264619296751,0.5347876518589365
murdocker,1,1,2,0,1,0.15,1,0,0,2,0,0.3688721662782725,0.42086038135162085
prateiksk,3,0,3,0.25,9,0.11,1,0,0,4,0,0.6643295257772349,0.6919798810226355
somwaw,2,0,3,0.43,23,0,0,0,0.45,11,5,0.5214935032534553,0.5609097630627514
mckenneddy,1,1,3,0.38,11,0.13,0,0,0,22,0,0.5987577547924017,0.6318094869864268
tamarandom,3,0,4,0.61,19,0,0,0,0.52,21,11,0.566590959071698,0.6022923831423862
sunren-tester,5,0,0,0,12,0,1,0,0,1,0,0.5476061554155571,0.5848714244046045
zhangyu0008,3,0,4,0.29,14,0.28,1,0,0.9,20,18,0.5526660592810797,0.5895145262272509
carlit0eth,3,0,2,0.31,5,0,1,0,0.25,4,1,0.4467702918222861,0.4923417648535168
caohue21,3,0,2,0,1,0.1,1,0,1,1,1,0.3875280207422794,0.437979487596915
mazaydes,2,0,0,0,1,0,1,0,1,1,1,0.21797134445970096,0.28238978992423164
littlexbx,3,0,4,0.22,6,0.08,1,0,0.29,7,2,0.5114125041349653,0.55165917122837
robert-delgado,5,0,0,0,2,0,0,0,0,1,0,0.5462626382094815,0.5836385774268601
santanna86,3,0,3,0.18,8,0.1,1,0,0.4,5,2,0.5088308073854638,0.5492901379024983
aakb875,2,0,0,0.15,19,0.13,1,0,0.03,32,1,0.43737121546726493,0.4837169234108653
oksanamsk,2,0,2,0,2,0.1,1,0,0.33,3,1,0.35675279098605295,0.4097393215441281
alienfoot,2,0,4,0.3,4,0,1,0,0,1,0,0.5990164788761025,0.6320468990591699
bobchuchu,3,0,2,0,10,0,1,0,0,1,0,0.5405282036971671,0.5783765084145622
unstateschool,4,0,3,0.3,7,0,1,0,0,1,0,0.6743975886915399,0.7012186022533797
aasishghimire,4,0,3,0,5,0.1,1,0,1,1,1,0.5026491498141806,0.5436176851644587
rominasejas,4,0,3,0.42,6,0,0,0,0.43,21,9,0.5185754651951426,0.5582320940423137
softdrops1,4,0,3,0.2,3,0.08,1,0,1,1,1,0.5477429095740847,0.5849969136430544
sttoffe,2,0,0,0,1,0,1,0,0,1,0,0.35099987618204564,0.40446029452663423
eskadir26,3,0,3,0.09,6,0.08,1,0,0,3,0,0.5939214624563635,0.6273715770266513
philh,1,3,2,0.53,10,0.33,0,1,0.05,81,4,0.5392549115995247,0.5772081018565625
amrali0,2,0,2,0,5,0.21,0,0,0,1,0,0.6403938519765596,0.6700158726928634
20pandora,3,0,1,0.25,4,0.11,1,0,0,1,0,0.6301908829328963,0.6606533580241889
pl666c,2,0,1,0.2,3,0,1,0,1,1,1,0.35866365314710125,0.41149277928138756
openartstudio,5,0,2,0.32,47,0.31,0,0,0,2,0,0.8799926818044896,0.8898781058586517
yek91,2,0,2,0,5,0,1,0,0,2,0,0.4265953573811209,0.4738287105811169
jackagoldman,4,0,0,0.17,2,0.15,0,0,0,2,0,0.6479412031039498,0.6769415220148823
kostandr,2,0,0,0,12,0.15,1,0,0,1,0,0.5407665994600058,0.5785952666815897
ikabankin,3,0,3,0.4,9,0,0,0,0.09,11,1,0.5680490540862697,0.6036303697523453
lookbugs,2,0,0,0.44,10,0,1,0,0,1,0,0.5393399209413121,0.5772861086804637
ssvving,3,0,0,0.09,8,0.16,1,0,0,1,0,0.6098533219248332,0.6419910733060649
cryptodiscover,4,0,3,0.4,8,0.15,0,0,0,1,0,0.8563637808459169,0.868195600415132
validatoreth,2,0,4,0.57,52,0.29,0,1,0.15,103,15,0.7224592832973276,0.7453212863664421
yurkonode,3,0,1,0.2,12,0.11,1,0,1,1,1,0.5434795062805271,0.5810847018443527
nyanchuu2022,4,0,1,0.17,2,0,1,0,0,10,0,0.46796533836490073,0.5117909010127321
robinbodya,3,0,1,0,3,0.11,1,0,1,1,1,0.40547608003444724,0.45444910224320495
restingbuddha,4,0,0,0.64,24,0.08,1,0,0.08,59,5,0.4913576915898041,0.5332563439897438
petertom43,4,0,3,0.11,6,0.1,1,0,0.5,6,3,0.4968093776392167,0.538258955522544
krukovav,3,0,1,0.18,13,0.08,1,0,0,2,0,0.6160220432919313,0.6476516554404672
dajiugege,3,0,3,0,10,0.2,1,0,1,4,4,0.44464505827759987,0.4903915942559845
emredkp,3,0,2,0.03,26,0.1,1,0,0,1,0,0.6842734565722385,0.7102809602300862
nyta91,3,0,2,0,12,0.21,1,0,0.33,3,1,0.5114014159599495,0.5516489964252526
mazzyfish,3,0,3,0,20,0.13,1,0,1,3,3,0.47568825226337375,0.5188776513841123
voztoy,2,0,4,0.57,79,0.26,0,0,0.23,22,5,0.6649061108780541,0.6925089707847486
nazimvekilov,5,0,0,0.06,13,0.1,1,0,0,3,0,0.609263800619829,0.6414501129403146
gorlova2002,4,0,3,0.11,5,0.11,1,0,0,1,0,0.7007615728206654,0.7254108924658974
alengigovic,5,0,1,0.46,7,0.08,0,0,0,10,0,0.6964371845645212,0.7214427192500492
valldemar,1,1,3,0.36,16,0.2,1,0,0,1,0,0.6513859294755109,0.6801024941834042
suthapalli,3,0,3,0.15,12,0.11,1,0,0,2,0,0.6876682861562287,0.7133961457845791
daryl-b,1,2,2,0.12,11,0.08,1,0,0,2,0,0.478293973392076,0.5212687301167389
mrpepee,2,0,4,0.47,8,0.18,1,0,0.71,7,5,0.5198635415261394,0.5594140670044702
bay18275,3,0,1,0.18,5,0.13,1,0,0,1,0,0.6320074956063106,0.662320329934949
trolmag,2,0,3,0.15,18,0.07,0,0,0,4,0,0.6845709892684946,0.7105539841137407
naranjasol,3,0,0,0,1,0,1,0,0,1,0,0.3932217986128693,0.4432042489977819
chrisjin2012,4,0,2,0.37,18,0.1,0,0,0.17,12,2,0.6496266057063445,0.6784880920887514
jlpera,2,0,0,0.58,13,0,0,1,0.09,11,1,0.5407592073433287,0.5785884834795113
pinkcaptain,3,0,4,0.36,7,0.1,0,0,0.19,26,5,0.5901828994468848,0.623940972575514
usurinich,4,0,0,0,1,0,1,0,1,1,1,0.29567542694093885,0.35369311437157025
sabinakc,1,1,3,0,5,0.1,1,0,1,1,1,0.32722313288992955,0.3826421250415471
furymetzger,3,0,2,0,12,0.06,1,0,0,1,0,0.5979224456078814,0.6310429851515706
britishgun,4,0,1,0.07,18,0,1,0,0,1,0,0.6219154083128048,0.6530595632974502
hiro23231,3,0,3,0.27,19,0.1,1,0,0,1,0,0.7539275239920387,0.7741973776140765
inv2020,3,0,0,0,3,0.08,1,0,0,1,0,0.4821120016558341,0.5247722539902187
dchain3,2,0,3,0,2,0.16,1,0,0.75,8,6,0.3315253447960423,0.38658994865116025
returnprotocol,4,0,1,0.23,5,0,1,1,0.33,9,3,0.46260790180312206,0.5068747753064311
topvilki,3,0,NA,0,2,0,1,0,0.08,13,1,0.3710750170480691,0.28733644003988523
khushbu0689,4,0,2,0.06,12,0.13,0,0,0,2,0,0.7548496905475156,0.7750435820733536
susplendid,2,0,4,0.3,7,0.11,1,0,1,4,4,0.47500263344156624,0.5182485093913433
maryuallen19,4,0,0,0,1,0.07,1,0,0,1,0,0.47664922743140575,0.5197594676543009
helengwilson20,5,0,0,0,1,0.07,1,0,0,1,0,0.4967594808516458,0.538213168908515
sea2233,3,0,1,0,2,0,1,0,0,1,0,0.44832078829532246,0.49376454148945553
ajyoda,2,0,0,0.23,6,0.13,1,0,0,8,0,0.49707549383959476,0.5385031507973654
jordg888,2,0,2,0.28,22,0.15,0,0,0,3,0,0.7359295679122999,0.7576819763537576
phrixus11,4,0,1,0,8,0.1,1,0,0,3,0,0.5499790248689286,0.5870488322717622
jm9151821,4,0,1,0.22,5,0,0,1,0.03,34,1,0.5564249506114205,0.5929637844841036
dinesh78singh,5,0,1,0.54,31,0,1,0,0,9,0,0.6338148681338787,0.6639788228431113
lospollos7327,2,0,2,0,7,0,1,0,0.5,2,1,0.341231193993166,0.39549629298006417
moonlinkvcapital,6,0,NA,0.03,24,0,1,0,0.5,4,2,0.5667258652010563,0.4668708410492257
