Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
niekvandervoort,3,0,2,0.6,1,0.1,0,0,0,2,0,0.6666173858888189,0.694079282065892
denylilov,4,0,1,0,1,0,1,0,0.5,2,1,0.32457305906116424,0.38021034709645035
rgr65gh,3,0,3,0.19,10,0,1,0,1,1,1,0.5072285660956872,0.5478198788520109
web3dao-software,6,0,0,0,1,0,1,0,0,1,0,0.45893401981456877,0.5035035238734797
sinmoonn,2,0,0,0.5,9,0.13,0,0,0.11,9,1,0.5304324203453228,0.5691123501760241
raincity7,3,0,1,0,69,0,1,0,0,1,0,0.5570569765873185,0.5935437482618044
shuaigua,2,0,4,0.59,7,0,0,0,0.53,32,17,0.46303110048289003,0.507263113625418
nesbee,1,1,3,0.38,16,0.1,0,0,0.87,62,54,0.42368655946865463,0.4711595205632771
starx23,2,0,2,0.2,3,0.1,1,0,0.5,2,1,0.4499156374684218,0.49522801733786453
mrfaxx,2,0,3,0.55,5,0.21,1,0,0,3,0,0.6496820465814233,0.6785389661043392
thetanvirmunna,6,0,0,0.39,24,0.13,1,0,0,2,0,0.7305148424462732,0.7527132808313493
oluwanikanlotomisin,9,0,0,0.33,2,0,1,0,0,4,0,0.5246092804328824,0.5637688827387857
aleksandrovpr,3,0,2,0.29,8,0.21,1,0,0,1,0,0.7184139474457465,0.7416091790290524
okpako212,3,0,3,0.33,4,0.11,0,0,0.81,21,17,0.5175572011228625,0.5572977079560177
piggydorth,4,0,0,0.33,8,0.03,1,0,1,1,1,0.50050913203614,0.5416539481627697
oodoviichuk,4,0,3,0,16,0.2,0,0,0,1,0,0.805260230227474,0.821301628646819
kadil09,1,1,0,0,1,0,1,0,0,1,0,0.2532779417390324,0.31478805885106126
alice-cometh,4,0,3,0.22,2,0.13,1,0,0,3,0,0.6538308720664847,0.6823460382708261
anzhelippa,4,0,0,0,3,0.11,1,0,0,1,0,0.5414965709818764,0.5792651078868291
anilbhuta05,3,0,3,0.06,14,0.21,0,0,0,9,0,0.7275542997170668,0.7499966083989608
jablay69,3,0,3,0.08,9,0.1,1,0,1,2,2,0.48493579022651295,0.5273634371841571
joelier,1,1,1,0,11,0,1,0,0,1,0,0.379296898822251,0.43042639208264655
kimbagitcoin,2,0,2,0.73,3,0,1,0,0,1,0,0.5551867710679945,0.5918275981359761
akinata1986,4,0,0,0,1,0,1,0,0,1,0,0.42870395866328354,0.47576361897397285
flimsylee,4,0,2,0.15,11,0.1,0,0,0.41,41,17,0.542732902496133,0.580399598434437
bestape,1,1,3,0.83,29,0.34,0,1,0.05,82,4,0.6164175215341599,0.6480145567516602
elvinma20,3,0,0,0.21,21,0.1,1,0,1,1,1,0.524082592119634,0.5632855795907016
lanitrock,3,0,3,0.75,9,0,1,0,0,14,0,0.5820515711019982,0.6164794502893036
ibraheemleone,5,0,4,0.47,42,0.28,1,1,0.06,48,3,0.7634282419513709,0.7829154880853055
thanhthanh51715,4,0,0,0,1,0,1,0,0,1,0,0.42870395866328354,0.47576361897397285
yanshanmei3577,6,0,0,0,11,0,0.02,0,0,3,0,0.5552699323806127,0.5919039091593578
vicbassey,2,0,2,0.33,10,0,0,0,0.89,62,55,0.3964096489298987,0.4461295048940803
songson7092,4,0,1,0,8,0,1,0,0,1,0,0.5342079439381872,0.5725768706375531
pubengzhao48755,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
ya2804713346,6,0,0,0,11,0,0.02,0,0,3,0,0.5552699323806127,0.5919039091593578
rikomalt,3,0,1,0.05,17,0.1,1,0,0,2,0,0.6108752820554519,0.6429288509933999
iscccrea,3,0,1,0,12,0,1,0,0,1,0,0.5245039427702327,0.5636722221091689
araokaman,3,0,2,0.2,3,0.18,0,0,0,3,0,0.6843658580307032,0.7103657502560659
0xpeterpan,2,0,4,0.33,2,0.11,1,0,0,6,0,0.5894732562458765,0.6232897851759902
nd5551,2,0,2,0.44,5,0.11,1,0,1,1,1,0.5098934241578069,0.5502652232012644
galeniele,2,0,1,0,11,0,1,0,0,1,0,0.4770188332652643,0.5200986277582196
aniecute,3,0,2,0,1,0.1,1,0,0,1,0,0.5205565524646241,0.5600499921993176
evsr777,2,0,1,0.29,4,0.03,1,0,0,1,0,0.5533405899278714,0.5901334934169024
mykigai,2,0,0,0.63,29,0,0,0,0,4,0,0.6006630728659421,0.6335578573221274
krisyokko,3,0,3,0.04,17,0.13,1,0,1,2,2,0.5316170070428392,0.5701993583090834
